apply	domain	locator	symbol	current_type	candidate_type	current_source	status	confidence	evidence	reason	source_report
0	class_field	ST3DSMAPContext+0x442	field_0442	/undefined4	pointer:/short	STRUCTURE_COMPONENT	likely_stale	high	pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0442 <= consistent nested dereferences through [this+0x442] | pointer:/short <= 006E6FB0 [this+0x442] passed to FUN_006a5e90 parameter param_1	consistent_this_relative_access; inferred_type_conflict=pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0442|pointer:/short; typed_cross_class_recovery=2	class_field_proposals.tsv
0	class_field	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_004167A0+0x97	field_0097	/undefined4	pointer:/short	STRUCTURE_COMPONENT	likely_stale	high	pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__AnonReceiver_004167A0_0097 <= consistent nested dereferences through [this+0x97] | pointer:/short <= 004184B8 generic pointer-return assignment in SubmarineTitans::Recovered::HiddenThis::AnonReceiver_004167A0::FUN_00418030; 0041861C generic pointer-return assignment in SubmarineTitans::Recovered::HiddenThis::AnonReceiver_004167A0::FUN_00418030	consistent_this_relative_access; inferred_type_conflict=pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__AnonReceiver_004167A0_0097|pointer:/short; typed_cross_class_recovery=13	class_field_proposals.tsv
0	class_field	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0060EF40+0x2DD	field_02DD	/undefined4	pointer:/ushort	STRUCTURE_COMPONENT	likely_stale	high	pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__AnonReceiver_0060EF40_02DD <= consistent nested dereferences through [this+0x2DD] | pointer:/ushort <= 0060F4E7 dynamic 2-byte dereference of field-derived address in SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0060EF40::FUN_0060ef40; 0060F4EB dynamic 2-byte dereference of field-derived address in SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0060EF40::FUN_0060ef40; 0060F538 dynamic 2-byte dereference of field-derived address in SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0060EF40::FUN_0060ef40; 0060F53D dynamic 2-byte dereference of field-derived address in SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0060EF40::FUN_0060ef40	consistent_this_relative_access; inferred_type_conflict=pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__AnonReceiver_0060EF40_02DD|pointer:/ushort; typed_cross_class_recovery=52	class_field_proposals.tsv
0	class_field	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_006CEC40+0x284	field_0284	/undefined4	pointer:/wingdi.h/BITMAPINFO	STRUCTURE_COMPONENT	likely_stale	high	pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__AnonReceiver_006CEC40_0284 <= consistent nested dereferences through [this+0x284] | pointer:/wingdi.h/BITMAPINFO <= 006D63E0 [this+0x284] passed to Library::DKW::DDX::FUN_006b42d0 parameter param_4	consistent_this_relative_access; inferred_type_conflict=pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__AnonReceiver_006CEC40_0284|pointer:/wingdi.h/BITMAPINFO; typed_cross_class_recovery=12	class_field_proposals.tsv
0	prototype	00443F30:return	STAllPlayersC::SaveAllPlData	pointer:/undefined4	pointer:/byte	USER_DEFINED	likely_stale	review	00443F30 returns used as parameter 2 of STPlaySystemC::SaveObjData @ 00431261	type_evidence={pointer:/byte=1}; name_evidence={}; strong_evidence=1; manual_target_preserved	prototype_proposals.tsv
0	prototype	00555FE0:return	TraksClassTy::PrepareToSave	pointer:/undefined4	pointer:/byte	USER_DEFINED	likely_stale	review	00555FE0 returns used as parameter 2 of STPlaySystemC::SaveObjData @ 00556638	type_evidence={pointer:/byte=1}; name_evidence={}; strong_evidence=1; manual_target_preserved	prototype_proposals.tsv
0	prototype	005582A0:return	VisibleClassTy::PrepareToSave	pointer:/undefined4	pointer:/byte	USER_DEFINED	likely_stale	review	005582A0 returns used as parameter 2 of STPlaySystemC::SaveObjData @ 00558A67	type_evidence={pointer:/byte=1}; name_evidence={}; strong_evidence=1; manual_target_preserved	prototype_proposals.tsv
0	prototype	00645420:return	STTorpC::SaveTorpData	pointer:/undefined4	pointer:/byte	USER_DEFINED	likely_stale	review	00645420 returns used as parameter 2 of STPlaySystemC::SaveObjData @ 00642D4E	type_evidence={pointer:/byte=1}; name_evidence={}; strong_evidence=1; manual_target_preserved	prototype_proposals.tsv
0	prototype	00647EF0:return	AiBossClassTy::PrepareToSave	pointer:/undefined4	pointer:/byte	USER_DEFINED	likely_stale	review	00647EF0 returns used as parameter 2 of STPlaySystemC::SaveObjData @ 0064811E	type_evidence={pointer:/byte=1}; name_evidence={}; strong_evidence=1; manual_target_preserved	prototype_proposals.tsv
0	prototype	0065D4B0:return	AiFltClassTy::PrepareToSave	pointer:/undefined4	pointer:/byte	USER_DEFINED	likely_stale	review	0065D4B0 returns used as parameter 2 of STPlaySystemC::SaveObjData @ 00667FC7	type_evidence={pointer:/byte=1}; name_evidence={}; strong_evidence=1; manual_target_preserved	prototype_proposals.tsv
0	prototype	00678BE0:return	AiPlrClassTy::PrepareToSave	pointer:/undefined4	pointer:/byte	USER_DEFINED	likely_stale	review	00678BE0 returns used as parameter 2 of STPlaySystemC::SaveObjData @ 0067CA5F	type_evidence={pointer:/byte=1}; name_evidence={}; strong_evidence=1; manual_target_preserved	prototype_proposals.tsv
0	prototype	0068E050:return	AiTactClassTy::PrepareToSave	pointer:/undefined4	pointer:/byte	USER_DEFINED	likely_stale	review	0068E050 returns used as parameter 2 of STPlaySystemC::SaveObjData @ 00690CB3	type_evidence={pointer:/byte=1}; name_evidence={}; strong_evidence=1; manual_target_preserved	prototype_proposals.tsv
