issue_id	function_address	function_name	occurrence	decompiler_line	classification	reason	compiler_blocker	abi_blocker	excerpt
0043BEB0/raw_pointer_offset/8d2cd58fa674/3	0043BEB0	STAllPlayersC::GetPanelInfo	6	932	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(undefined4 *)(*(int *)param_2 + 0xc) = 0;
0043BEB0/raw_pointer_offset/8d2cd58fa674/4	0043BEB0	STAllPlayersC::GetPanelInfo	11	1045	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(undefined4 *)(*(int *)param_2 + 0xc) = 0;
0043BEB0/raw_pointer_offset/8fb7f465934d/1	0043BEB0	STAllPlayersC::GetPanelInfo	4	890	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(undefined4 *)(*(int *)&param_2->field_0x8 + 0xc) = 0;
0043BEB0/raw_pointer_offset/8fb7f465934d/2	0043BEB0	STAllPlayersC::GetPanelInfo	8	934	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(undefined4 *)(*(int *)&param_2->field_0x8 + 0xc) = 0;
0043BEB0/raw_pointer_offset/96d3b193f645/1	0043BEB0	STAllPlayersC::GetPanelInfo	3	889	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(undefined4 *)(*(int *)&param_2->field_0004 + 0xc) = 0;
0043BEB0/raw_pointer_offset/96d3b193f645/2	0043BEB0	STAllPlayersC::GetPanelInfo	7	933	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(undefined4 *)(*(int *)&param_2->field_0004 + 0xc) = 0;
00440860/raw_pointer_offset/5b6e233061a9/1	00440860	STAllPlayersC::_ChangeMD	1	54	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	(**(code **)(*param_2 + 0x10))(param_1,param_3);
00440990/raw_pointer_offset/04239e2d44cb/1	00440990	STAllPlayersC::_ChangeDock	1	55	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	(**(code **)(*param_3 + 0x14))(param_2,param_4);
00442E50/raw_pointer_offset/a2fdf9b643ec/1	00442E50	STAllPlayersC::_AssignMDPairs	1	297	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	(iVar11 = (**(code **)(local_1c->vtable + 0xc))(), iVar11 == 8)) {
00443F30/raw_pointer_offset/3f2c1fac974e/1	00443F30	STAllPlayersC::SaveAllPlData	3	640	dynamic_darray_or_runtime_stride	the address depends on a runtime container stride; a static field or C array would misstate the ABI	0	0	*(DArrayTy **)(local_2c + 0x5588) = local_1c;
00443F30/raw_pointer_offset/80eb7e08f86f/1	00443F30	STAllPlayersC::SaveAllPlData	4	641	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(uint *)(local_2c + 0x558c) = uVar16;
00443F30/raw_pointer_offset/a1d2c02bba03/1	00443F30	STAllPlayersC::SaveAllPlData	1	477	dynamic_darray_or_runtime_stride	the address depends on a runtime container stride; a static field or C array would misstate the ABI	0	0	*(DArrayTy **)(local_2c + (int)local_18 + (int)local_24 + 0x246) = local_1c;
00443F30/raw_pointer_offset/c3c840dff21a/1	00443F30	STAllPlayersC::SaveAllPlData	2	478	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(AnonNested_00443F30_0839_FB957E77 **)(local_2c + (int)local_18 + (int)local_24 + 0x24a)
00444E70/raw_pointer_offset/0e956d3d1258/1	00444E70	FUN_00444e70	1	311	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	if (0 < *(int *)(param_1 + 0x2aba)) {
00444E70/raw_pointer_offset/1fafd817dd52/1	00444E70	FUN_00444e70	12	349	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	uVar7 = *(uint *)(param_1 + 0x2ac6);
00444E70/raw_pointer_offset/2bd6868642ab/1	00444E70	FUN_00444e70	3	318	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	if (0 < *(int *)(param_1 + 0x2abc)) {
00444E70/raw_pointer_offset/38332e00a15d/1	00444E70	FUN_00444e70	9	339	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	if (0 < *(int *)(param_1 + 0x2ac2)) {
00444E70/raw_pointer_offset/4961dc7fdf8e/1	00444E70	FUN_00444e70	13	351	intentional_byte_cursor	the value is traversed as byte storage; semantic element identity is not independently proven	0	0	puVar9 = (byte *)(*(int *)(param_1 + 0x2ac4) + (int)param_1);
00444E70/raw_pointer_offset/640e453be886/1	00444E70	FUN_00444e70	5	325	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	if (0 < *(int *)(param_1 + 0x2abe)) {
00444E70/raw_pointer_offset/759280e6edd2/1	00444E70	FUN_00444e70	10	343	dynamic_darray_or_runtime_stride	the address depends on a runtime container stride; a static field or C array would misstate the ABI	0	0	((DArrayTy *)g_array_007FA164,*(int *)(param_1 + 0x2ac2) - 1,&local_c);
00444E70/raw_pointer_offset/9385dd4ed0c5/1	00444E70	FUN_00444e70	2	315	dynamic_darray_or_runtime_stride	the address depends on a runtime container stride; a static field or C array would misstate the ABI	0	0	((DArrayTy *)g_array_007FA154,*(int *)(param_1 + 0x2aba) - 1,&local_c);
00444E70/raw_pointer_offset/979738f3700f/1	00444E70	FUN_00444e70	6	329	dynamic_darray_or_runtime_stride	the address depends on a runtime container stride; a static field or C array would misstate the ABI	0	0	((DArrayTy *)g_array_007FA15C,*(int *)(param_1 + 0x2abe) - 1,&local_c);
00444E70/raw_pointer_offset/b163f06b4098/1	00444E70	FUN_00444e70	11	347	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	DAT_007fa168 = Library::DKW::LIB::MemAlloc(*(uint *)(param_1 + 0x2ac6));
00444E70/raw_pointer_offset/c5b5de02202f/1	00444E70	FUN_00444e70	7	332	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	if (0 < *(int *)(param_1 + 0x2ac0)) {
00444E70/raw_pointer_offset/d62a7182c952/1	00444E70	FUN_00444e70	8	336	dynamic_darray_or_runtime_stride	the address depends on a runtime container stride; a static field or C array would misstate the ABI	0	0	((DArrayTy *)g_array_007FA160,*(int *)(param_1 + 0x2ac0) - 1,&local_c);
00444E70/raw_pointer_offset/d6f97e93cecb/1	00444E70	FUN_00444e70	4	322	dynamic_darray_or_runtime_stride	the address depends on a runtime container stride; a static field or C array would misstate the ABI	0	0	((DArrayTy *)g_array_007FA158,*(int *)(param_1 + 0x2abc) - 1,&local_c);
00446F80/raw_pointer_offset/c30a37ecb49e/1	00446F80	STAllPlayersC::DistributeGuardBoats	1	184	dynamic_darray_or_runtime_stride	the address depends on a runtime container stride; a static field or C array would misstate the ABI	0	0	local_30 = *(DArrayTy **)(local_78 + 0xc);
0044EE30/raw_pointer_offset/b800c5b01a31/1	0044EE30	STBoatC::GetMessage	1	1505	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	uVar17 = *(uint *)(this_00->field_05A6 + 0x12);
00483880/raw_pointer_offset/5ea5540e64a1/1	00483880	FUN_00483880	1	9	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	if (*(int *)(param_1 + 0x455) == 1) {
00486A60/raw_pointer_offset/0ff3224e84a7/1	00486A60	FUN_00486a60	1	10	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	iVar1 = (*(int *)(param_1 + 0x716) * 100) / *(int *)(param_1 + 0x712);
00486A60/raw_pointer_offset/7d5db7ae09a8/1	00486A60	FUN_00486a60	2	12	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	if ((0 < *(int *)(param_1 + 0x716)) && (iVar1 == 0)) {
00491180/raw_pointer_offset/c952779fc026/1	00491180	FUN_00491180	1	8	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	if ((*(int *)(param_1 + 0x45d) == 0x14) && (*(int *)(param_1 + 0x5c0) == 3)) {
00491600/raw_pointer_offset/23286c322058/1	00491600	FUN_00491600	1	18	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	(**(code **)(param_1->field_0000 + 0x100))(param_1->field_01D1 | 0xd);
00491930/raw_pointer_offset/5f090d9bdd4b/1	00491930	FUN_00491930	2	14	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	((*(int *)(param_1 + 0x45d) != 0x14 || (*(int *)(param_1 + 0x5c0) != 3)))))) {
00491930/raw_pointer_offset/da10c6af274b/1	00491930	FUN_00491930	1	10	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	iVar1 = *(int *)(param_1 + 0x6f7);
004919C0/raw_pointer_offset/73cd738d45e1/1	004919C0	STBoatC::GetCellForLoading	1	148	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(int *)((int)local_48 + iVar8 + 0x14) = iVar11;
004919C0/raw_pointer_offset/73cd738d45e1/2	004919C0	STBoatC::GetCellForLoading	2	154	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(int *)((int)local_48 + iVar8 + 0x14) = iVar11;
004919C0/raw_pointer_offset/73cd738d45e1/3	004919C0	STBoatC::GetCellForLoading	3	166	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(int *)((int)local_48 + iVar8 + 0x14) = iVar11;
004919C0/raw_pointer_offset/f54c8702e751/1	004919C0	STBoatC::GetCellForLoading	4	234	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	iVar11 = *(int *)((int)local_48 + iVar8 + 0x14);
00493110/raw_pointer_offset/cca0c4684c71/1	00493110	FUN_00493110	1	19	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	iVar3 = (**(code **)(param_1->field_0000 + 0x2c))();
00493250/raw_pointer_offset/144bbab53818/1	00493250	FUN_00493250	2	14	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	if ((iVar1 == 0x14) && (*(int *)(param_1 + 0x5c0) == 3)) {
00493250/raw_pointer_offset/3c84f3bdab42/1	00493250	FUN_00493250	1	11	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	iVar1 = *(int *)(param_1 + 0x45d);
00493250/raw_pointer_offset/64387f13db2e/1	00493250	FUN_00493250	11	47	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	if (*(int *)(param_1 + 0x72e) != 1) {
00493250/raw_pointer_offset/732117c35f8f/1	00493250	FUN_00493250	7	34	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	if (((iVar1 == 0xc) && ((*(int *)(param_1 + 0x4d5) == 5 || (*(int *)(param_1 + 0x4d5) == 0xc))))
00493250/raw_pointer_offset/7a69b482ba44/1	00493250	FUN_00493250	6	30	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	if ((iVar1 == 9) && (*(int *)(param_1 + 0x611) == 3)) {
00493250/raw_pointer_offset/92e955838b0b/1	00493250	FUN_00493250	5	26	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	if (0 < *(int *)(param_1 + 0x73a)) {
00493250/raw_pointer_offset/92e955838b0b/2	00493250	FUN_00493250	9	39	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	if (0 < *(int *)(param_1 + 0x73a)) {
00493250/raw_pointer_offset/9b6eb829c7ed/1	00493250	FUN_00493250	12	57	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	if (*(int *)(param_1 + 0x732) == 1) {
00493250/raw_pointer_offset/a1b8ba15e50e/1	00493250	FUN_00493250	4	22	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	if ((iVar1 == 4) && (*(int *)(param_1 + 0x580) == 5)) {
00493250/raw_pointer_offset/a86a6b7bee6a/1	00493250	FUN_00493250	3	18	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	if (*(int *)(param_1 + 0x7ca) != 0) {
00493250/raw_pointer_offset/da10c6af274b/1	00493250	FUN_00493250	10	43	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	iVar1 = *(int *)(param_1 + 0x6f7);
00493250/raw_pointer_offset/e46b1e1acc93/1	00493250	FUN_00493250	8	35	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	|| ((iVar1 == 0xd && (*(int *)(param_1 + 0x54c) == 5)))) {
00497E00/raw_pointer_offset/437708ccd5ad/1	00497E00	STGroupBoatC::GetMessage	1	90	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(uint *)(local_8 + 0x38) = local_c;
00497E00/raw_pointer_offset/48fb3e51b5ad/1	00497E00	STGroupBoatC::GetMessage	2	91	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(uint *)(local_8 + 0x3c) = local_10;
0049D750/raw_pointer_offset/e4c6fb4e3047/1	0049D750	STGroupBoatC::GrpRepare	1	102	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	if (*(int *)(this_00->field_029F + 0xc) == 0) {
004A4D60/raw_pointer_offset/f368d20c9e65/1	004A4D60	STGroupBoatC::ChangeMDNotify	1	49	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	iVar2 = *(int *)(local_c->field_029F + 0xc);
004A4D60/raw_pointer_offset/f368d20c9e65/2	004A4D60	STGroupBoatC::ChangeMDNotify	2	70	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	iVar2 = *(int *)(local_c->field_029F + 0xc);
