apply	kind	owner	owner_type_path	offset	offset_hex	size	proposed_type	proposed_name	evidence_function	evidence_sites	confidence	reason
0	zero_span	STBoatC	/STBoatC	1560	0x618	1			0044E690	0044E7B3 STOSB ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1561	0x619	28			0044E690	0044E7C7 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1589	0x635	52			0044E690	0044E7D4 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1643	0x66B	32			0044E690	0044E7E5 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1675	0x68B	28			0044E690	0044E7F2 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1705	0x6A9	32			0044E690	0044E803 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1739	0x6CB	32			0044E690	0044E814 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1779	0x6F3	360			0044E690	0044E832 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	2139	0x85B	1			0044E690	0044E836 STOSB ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STDcResourcC	/STDcResourcC	561	0x231	40			0057F1D0	0057F1FF STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STDestC	/STDestC	561	0x231	380			006023F0	0060241F STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STExplosion	/STExplosion	537	0x219	80			00604080	006040A4 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STExplosion	/STExplosion	642	0x282	44			00604080	006040D0 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STExplosion	/STExplosion	686	0x2AE	1			00604080	006040D2 STOSB ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STGameObjC	/STGameObjC	52	0x34	92			004158E0	0041591D STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STGameObjC	/STGameObjC	144	0x90	1			004158E0	00415929 STOSB ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STGameObjC	/STGameObjC	147	0x93	108			004158E0	0041594C STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STGroupBoatC	/STGroupBoatC	93	0x5D	388			00497AF0	00497B23 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STGroupBoatC	/STGroupBoatC	481	0x1E1	1			00497AF0	00497B25 STOSB ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STGroupBoatC	/STGroupBoatC	482	0x1E2	40			00497AF0	00497B33 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STGroupBoatC	/STGroupBoatC	522	0x20A	24			00497AF0	00497B40 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STGroupBoatC	/STGroupBoatC	550	0x226	36			00497AF0	00497B4D STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STGroupBoatC	/STGroupBoatC	586	0x24A	44			00497AF0	00497B6E STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STGroupBoatC	/STGroupBoatC	630	0x276	28			00497AF0	00497B7B STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STGroupBoatC	/STGroupBoatC	658	0x292	1			00497AF0	00497B7F STOSB ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STJellyGunC	/STJellyGunC	598	0x256	60			005823D0	005823FF STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STJellyManC	/STJellyManC	473	0x1D9	44			005810D0	005810EC STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STLBombC	/STLBombC	600	0x258	48			00584970	005849EB STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STManBasisC	/STManBasisC	32	0x20	40			005F1350	005F1369 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STManRub3C	/STManRub3C	28	0x1C	152			0062CF00	0062CF1D STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STManRuinC	/STManRuinC	64	0x40	32			00630BB0	00630BC3 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STManRuinC	/STManRuinC	96	0x60	1			00630BB0	00630BC5 STOSB ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STMineSetC	/STMineSetC	606	0x25E	264			00622600	0062262F STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STMineSetC	/STMineSetC	870	0x366	1			00622600	00622631 STOSB ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STOctopusC	/STOctopusC	645	0x285	40			00589990	005899C9 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STSatC	/STSatC	629	0x275	36			0058BA30	0058BA81 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STSharkC	/STSharkC	603	0x25B	52			0058D750	0058D787 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STSprGameObjC	/STSprGameObjC	561	0x231	244			005EC7E0	005EC80F STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STSprGameObjC	/STSprGameObjC	805	0x325	1			005EC7E0	005EC811 STOSB ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	SpecPanelTy	/SpecPanelTy	24	0x18	32			0053EA50	0053EA78 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	StartSystemTy	/StartSystemTy	580	0x244	24			005DA610	005DA706 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	StartSystemTy	/StartSystemTy	604	0x25C	136			005DA610	005DA713 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	TLOEmbryoTy	/TLOEmbryoTy	776	0x308	48			004D0FC0	004D100B STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	TraksClassTy	/TraksClassTy	40	0x28	2048			005556D0	00555700 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	VisibleClassTy	/VisibleClassTy	84	0x54	32			005577C0	00557806 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	VisibleClassTy	/VisibleClassTy	116	0x74	32			005577C0	00557810 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	VisibleClassTy	/VisibleClassTy	148	0x94	32			005577C0	0055781D STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	VisibleClassTy	/VisibleClassTy	280	0x118	192			005577C0	00557854 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	VisibleClassTy	/VisibleClassTy	472	0x1D8	192			005577C0	00557861 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
