apply	owner	offset	offset_hex	count	element_size	total_size	element_type	proposed_type	proposed_name	bounded_sites	exact_loops	pointer_dereferences	confidence	reason	evidence_functions	evidence_sites
1	CampaignTy	187	0xBB	13	507	6591	/SubmarineTitans/Recovered/InlineRecordArrays/CampaignTy_Record_00BB_01FB	array:13:/SubmarineTitans/Recovered/InlineRecordArrays/CampaignTy_Record_00BB_01FB	array_00BB	0	2	16	high	fixed inline record array from exact cursor loops: counts=[13], factory_counts=[13], stride=0x1FB, loops=6, exact_loops=2, boundaries=[188, 231, 255, 291, 372, 376], access_offsets=16, typed_nested_objects=3	00590B40 | 00591940 | 00591BF0 | 00593860	005911DE record cursor owner+0x123, stride=0x1FB, runtime_bound | 005911EA MOV dword ptr [EDI + 0x4],EAX | 005911F0 MOV dword ptr [EDI],EAX | 00591A58 record cursor owner+0xFF, stride=0x1FB, runtime_bound | 00591A5E MOV EAX,dword ptr [ESI + -0x18] | 00591A66 MOV ECX,dword ptr [ESI + 0x4] | 00591A69 MOV EDX,dword ptr [ESI] | 00591A6C MOV ECX,dword ptr [ESI + -0x14] | 00591A70 MOV EDX,dword ptr [ESI + 0x2c] | 00591A81 MOV EAX,dword ptr [ESI + 0x79] | 00591A89 MOV ECX,dword ptr [ESI + 0x95] | 00591A8F MOV EDX,dword ptr [ESI + 0x91] | 00591A96 MOV ECX,dword ptr [ESI + 0x7d] | 00591A9A MOV EDX,dword ptr [ESI + 0xbd] | 00591C80 record cursor owner+0x178, stride=0x1FB, runtime_bound | 00591C89 MOV EDX,dword ptr [ESI + -0x51] | 00591C8C MOV ECX,dword ptr [ESI + -0x55] | 00591C95 MOV AL,byte ptr [ESI + 0xffffff43] | 00591C9F MOV EAX,dword ptr [ESI] | 00591CA6 MOV ECX,dword ptr [ESI + 0x44] | 00591CB0 MOV AL,byte ptr [ESI + 0xffffff6a] | 00591CBA MOV EAX,dword ptr [ESI + 0x91] | 00591CC5 MOV EDX,dword ptr [ESI + 0xd5] | 00591CD2 MOV byte ptr [ESI + 0xffffff43],0x0 | 00591CD9 MOV EAX,dword ptr [ESI + 0xffffff73] | 00591CE4 MOV dword ptr [ESI + 0xffffff73],EAX | 00591CEA MOV ECX,dword ptr [ESI + 0xffffff6f] | 00591CF5 MOV EDX,dword ptr [ESI + -0x75] | 00591CF9 MOV EDX,dword ptr [ESI + -0x79] | 00591CFE MOV EAX,dword ptr [ESI + -0x4d] | 00591D58 record cursor owner+0xE7, stride=0x1FB, runtime_bound | 00591D5E MOV EAX,dword ptr [ESI] | 00591D66 MOV EAX,dword ptr [ESI + 0x44] | 005938A8 record cursor owner+0x174, stride=0x1FB, exact_count=13 | 005938B9 typed nested receiver=/SpriteClassTy at owner+0xE3 | 005938C0 typed nested receiver=/SpriteClassTy at owner+0x174 | 005938CB typed nested receiver=/SpriteClassTy at owner+0x205 | 005938F6 record cursor owner+0xBC, stride=0x1FB, exact_count=13
1	CampaignTy	7127	0x1BD7	4	4	16	/uint	array:4:/uint	array_1BD7	0	3	0	high	fixed member array from machine evidence: counts=[4], bounded_sites=0, exact_loops=3, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	00590B40 | 005916F0 | 00591940 | 005926E0	00590C6D MOV dword ptr [ESI + EDI*0x4 + 0x1bd7],EAX | 00591814 exact pointer walk count=4, stride=4, cursor_displacement=0 | 00591A30 exact pointer walk count=4, stride=4, cursor_displacement=0 | 0059273C exact pointer walk count=4, stride=4, cursor_displacement=0
1	ChooseMapTy	188	0xBC	13	507	6591	/SubmarineTitans/Recovered/InlineRecordArrays/ChooseMapTy_Record_00BC_01FB	array:13:/SubmarineTitans/Recovered/InlineRecordArrays/ChooseMapTy_Record_00BC_01FB	array_00BC	0	2	0	high	fixed inline record array from exact cursor loops: counts=[13], factory_counts=[13], stride=0x1FB, loops=2, exact_loops=2, boundaries=[188, 372], access_offsets=0, typed_nested_objects=3	005B2790	005B27DC record cursor owner+0x174, stride=0x1FB, exact_count=13 | 005B27EF typed nested receiver=/SpriteClassTy at owner+0xE3 | 005B27F6 typed nested receiver=/SpriteClassTy at owner+0x174 | 005B2801 typed nested receiver=/SpriteClassTy at owner+0x205 | 005B2831 record cursor owner+0xBC, stride=0x1FB, exact_count=13
1	FSGSTy	188	0xBC	13	507	6591	/SubmarineTitans/Recovered/InlineRecordArrays/FSGSTy_Record_00BC_01FB	array:13:/SubmarineTitans/Recovered/InlineRecordArrays/FSGSTy_Record_00BC_01FB	array_00BC	0	2	0	high	fixed inline record array from exact cursor loops: counts=[13], factory_counts=[13], stride=0x1FB, loops=2, exact_loops=2, boundaries=[188, 372], access_offsets=0, typed_nested_objects=3	005AA2C0	005AA30C record cursor owner+0x174, stride=0x1FB, exact_count=13 | 005AA31F typed nested receiver=/SpriteClassTy at owner+0xE3 | 005AA326 typed nested receiver=/SpriteClassTy at owner+0x174 | 005AA331 typed nested receiver=/SpriteClassTy at owner+0x205 | 005AA361 record cursor owner+0xBC, stride=0x1FB, exact_count=13
1	FrmPanelTy	435	0x1B3	8	4	32	/uint	array:8:/uint	array_01B3	0	3	0	high	fixed member array from machine evidence: counts=[8], bounded_sites=0, exact_loops=3, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	00510250 | 00510370 | 005104B0	00510289 exact pointer walk count=8, stride=4, cursor_displacement=0 | 005103D4 exact pointer walk count=8, stride=4, cursor_displacement=0 | 00510523 exact pointer walk count=8, stride=4, cursor_displacement=0
1	FrmPanelTy	467	0x1D3	4	4	16	/uint	array:4:/uint	array_01D3	0	2	0	high	fixed member array from machine evidence: counts=[4], bounded_sites=0, exact_loops=2, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	00510250 | 00510370	005102AA exact pointer walk count=4, stride=4, cursor_displacement=0 | 005103F4 exact pointer walk count=4, stride=4, cursor_displacement=0
1	HelpPanelTy	384	0x180	7	4	28	/uint	array:7:/uint	array_0180	0	2	0	high	fixed member array from machine evidence: counts=[7], bounded_sites=0, exact_loops=2, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	00511760 | 00511C70	005117B2 exact pointer walk count=7, stride=4, cursor_displacement=0 | 00511CF2 exact pointer walk count=7, stride=4, cursor_displacement=0
1	HelpPanelTy	496	0x1F0	10	4	40	/uint	array:10:/uint	array_01F0	0	1	0	high	fixed member array from machine evidence: counts=[10], bounded_sites=0, exact_loops=1, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	00511760	00511863 exact pointer walk count=10, stride=4, cursor_displacement=0
1	MMObjTy	102	0x66	13	4	52	/uint	array:13:/uint	array_0066	0	2	0	high	fixed member array from machine evidence: counts=[13], bounded_sites=0, exact_loops=2, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	005B6220 | 005B6480	005B6259 exact pointer walk count=13, stride=4, cursor_displacement=0 | 005B64B9 exact pointer walk count=13, stride=4, cursor_displacement=0
1	MMsgTy	102	0x66	13	4	52	/uint	array:13:/uint	array_0066	0	2	0	high	fixed member array from machine evidence: counts=[13], bounded_sites=0, exact_loops=2, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	005B6FF0 | 005B7EF0 | 005B8C70 | 005B9010	005B702D exact pointer walk count=13, stride=4, cursor_displacement=0 | 005B7FCE MOV EAX,dword ptr [EBX + EDI*0x4 + 0x66] | 005B8CB8 exact pointer walk count=13, stride=4, cursor_displacement=0 | 005B9066 MOV ECX,dword ptr [ESI + EAX*0x4 + 0x66] | 005B9089 MOV EDX,dword ptr [ESI + EAX*0x4 + 0x66]
1	MMsgTy	188	0xBC	13	507	6591	/SubmarineTitans/Recovered/InlineRecordArrays/MMsgTy_Record_00BC_01FB	array:13:/SubmarineTitans/Recovered/InlineRecordArrays/MMsgTy_Record_00BC_01FB	array_00BC	0	2	18	high	fixed inline record array from exact cursor loops: counts=[13], factory_counts=[13], stride=0x1FB, loops=6, exact_loops=2, boundaries=[188, 231, 255, 372], access_offsets=18, typed_nested_objects=3	005B6FF0 | 005B7210 | 005B7340 | 005B7540 | 005B95B0	005B70C2 record cursor owner+0xE7, stride=0x1FB, runtime_bound | 005B70C8 MOV dword ptr [ESI + 0x4],0x0 | 005B70CF MOV EAX,dword ptr [ESI] | 005B70D6 MOV EDX,dword ptr [ESI + 0x1c] | 005B70D9 MOV ECX,dword ptr [ESI + 0x18] | 005B70DD MOV EDX,dword ptr [ESI + 0x4] | 005B70E3 MOV EAX,dword ptr [ESI + 0x44] | 005B70EC MOV EAX,dword ptr [ESI] | 005B70F3 MOV ECX,dword ptr [ESI + 0x44] | 005B70FD MOV EAX,dword ptr [ESI + 0x91] | 005B7108 MOV EDX,dword ptr [ESI + 0xd5] | 005B7115 MOV AL,byte ptr [ESI + -0x5] | 005B711C MOV EAX,dword ptr [ESI + 0x122] | 005B7128 MOV EAX,dword ptr [ESI + 0x166] | 005B7278 record cursor owner+0xE7, stride=0x1FB, runtime_bound | 005B727E MOV EAX,dword ptr [ESI] | 005B7285 MOV ECX,dword ptr [ESI + 0x1c] | 005B7288 MOV EDX,dword ptr [ESI + 0x18] | 005B7290 MOV EAX,dword ptr [ESI + 0x44] | 005B73E2 record cursor owner+0xFF, stride=0x1FB, runtime_bound | 005B73E8 MOV EAX,dword ptr [ESI + -0x18] | 005B73F0 MOV ECX,dword ptr [ESI + 0x4] | 005B73F3 MOV EDX,dword ptr [ESI] | 005B73F6 MOV ECX,dword ptr [ESI + -0x14] | 005B73FA MOV EDX,dword ptr [ESI + 0x2c] | 005B7405 MOV EAX,dword ptr [ESI + 0x79] | 005B740D MOV ECX,dword ptr [ESI + 0x95] | 005B7413 MOV EDX,dword ptr [ESI + 0x91] | 005B741A MOV ECX,dword ptr [ESI + 0x7d] | 005B741E MOV EDX,dword ptr [ESI + 0xbd] | 005B742C MOV AL,byte ptr [ESI + -0x1d] | 005B7433 MOV EAX,dword ptr [ESI + 0x10a] | 005B743E MOV ECX,dword ptr [ESI + 0x126] | 005B7444 MOV EDX,dword ptr [ESI + 0x122] | 005B744B MOV ECX,dword ptr [ESI + 0x10e] | 005B7452 MOV EDX,dword ptr [ESI + 0x14e] | 005B7608 record cursor owner+0xFF, stride=0x1FB, runtime_bound | 005B7619 MOV EDX,dword ptr [EDI + 0x28] | 005B761C MOV ECX,dword ptr [EDI + 0x24] | 005B7625 MOV EAX,dword ptr [EDI + -0x14] | 005B7631 MOV dword ptr [EDI + -0x14],EAX | 005B7634 MOV ECX,dword ptr [EDI + -0x18] | 005B763C MOV EDX,dword ptr [EDI + 0x4] | 005B7640 MOV EDX,dword ptr [EDI] | 005B7644 MOV EAX,dword ptr [EDI + 0x2c] | 005B95F8 record cursor owner+0x174, stride=0x1FB, exact_count=13 | 005B9609 typed nested receiver=/SpriteClassTy at owner+0xE3 | 005B9610 typed nested receiver=/SpriteClassTy at owner+0x174 | 005B961B typed nested receiver=/SpriteClassTy at owner+0x205 | 005B9646 record cursor owner+0xBC, stride=0x1FB, exact_count=13
0	MReportTy	835	0x343	4	4	16	pointer:/uint	array:4:pointer:/uint	array_0343	1	0	1	high	fixed member array from machine evidence: counts=[4], bounded_sites=1, exact_loops=0, pointer_dereferences=1, element_candidates=[pointer:/uint], exact_pointer_candidates=[]; overlaps_array_0x347	005BD7A0	005BDC5A MOV EAX,dword ptr [EBX + EAX*0x4 + 0x343] | 005BDC5A element pointee width=4: MOV EAX,dword ptr [EBX + EAX*0x4 + 0x343]
0	MReportTy	839	0x347	3	4	12	pointer:/uint	array:3:pointer:/uint	array_0347	0	2	19	high	fixed member array from machine evidence: counts=[3], bounded_sites=0, exact_loops=2, pointer_dereferences=19, element_candidates=[pointer:/uint], exact_pointer_candidates=[]; overlaps_array_0x343	005BD7A0 | 005BE310 | 005C0E00 | 005C1A90	005BDC81 exact pointer walk count=3, stride=4, cursor_displacement=0 | 005BE38F exact pointer walk count=3, stride=4, cursor_displacement=0 | 005C0F4A MOV ECX,dword ptr [EBX + EAX*0x4 + 0x347] | 005C0F51 element pointee width=4: CMP dword ptr [ECX + 0xc],ESI | 005C0F51 loaded element dereferenced with width=4: CMP dword ptr [ECX + 0xc],ESI | 005C1001 MOV ECX,dword ptr [EBX + EDX*0x4 + 0x347] | 005C1008 element pointee width=4: CMP EDI,dword ptr [ECX + 0xc] | 005C1008 loaded element dereferenced with width=4: CMP EDI,dword ptr [ECX + 0xc] | 005C100D element pointee width=4: MOV EAX,dword ptr [ECX + 0x8] | 005C1013 element pointee width=4: ADD EAX,dword ptr [ECX + 0x1c] | 005C1D9F CMP dword ptr [EBX + EAX*0x4 + 0x347],EDI | 005C1DC4 MOV EDX,dword ptr [EBX + ECX*0x4 + 0x347] | 005C1DCE element pointee width=4: MOV EAX,dword ptr [EDX + 0xc] | 005C1DCE loaded element dereferenced with width=4: MOV EAX,dword ptr [EDX + 0xc] | 005C1F7D MOV ECX,dword ptr [EBX + EAX*0x4 + 0x347] | 005C1F84 element pointee width=4: MOV EAX,dword ptr [ECX + 0xc] | 005C1F84 loaded element dereferenced with width=4: MOV EAX,dword ptr [ECX + 0xc] | 005C1FBE MOV ECX,dword ptr [EBX + ECX*0x4 + 0x347] | 005C1FBE element pointee width=4: MOV ECX,dword ptr [EBX + ECX*0x4 + 0x347] | 005C1FD0 element pointee width=4: MOV EDI,dword ptr [ECX + 0xc] | 005C1FD7 element pointee width=4: MOV EAX,dword ptr [ECX + 0x8] | 005C1FDD element pointee width=4: ADD EAX,dword ptr [ECX + 0x1c] | 005C1FF0 element pointee width=4: MOV EAX,dword ptr [ECX + 0x8] | 005C1FF6 element pointee width=4: ADD EAX,dword ptr [ECX + 0x1c] | 005C21D9 MOV ECX,dword ptr [EBX + EDX*0x4 + 0x347] | 005C21E4 element pointee width=4: MOV EDX,dword ptr [ECX + 0xc] | 005C21F1 element pointee width=4: MOV EDI,dword ptr [ECX + 0x8] | 005C21F7 element pointee width=4: ADD EDI,dword ptr [ECX + 0x1c]
