apply	shape_id	offset	size	proposed_name	proposed_type	evidence_count	reason
1	AnonNested_005F9CB0_02E6_32192ADE	80	4	field_0050	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005F9CB0_02E6_32192ADE	84	4	field_0054	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005F9CB0_02E6_32192ADE	88	4	field_0058	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_005F9CB0_02E6_32192ADE	92	4	field_005C	/int	1	dereference through parent pointer field; observed_types={/int=4}; exact_widths={}; semantic_roles={}
1	AnonNested_005F9CB0_02E6_32192ADE	96	4	field_0060	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_005F9CB0_02E6_32192ADE	100	4	field_0064	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_005F9CB0_02E6_32192ADE	104	4	field_0068	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_005FAC40_02E6_39D7D583	20	4	field_0014	/int	1	dereference through parent pointer field; observed_types={/int=1, /undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005FAC40_02E6_39D7D583	24	4	field_0018	/int	1	dereference through parent pointer field; observed_types={/int=1, /undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005FAC40_02E6_39D7D583	28	4	field_001C	/int	2	dereference through parent pointer field; observed_types={/int=2, /undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005FAC40_02E6_39D7D583	52	4	field_0034	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005FAC40_02E6_39D7D583	56	4	field_0038	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005FAC40_02E6_39D7D583	60	4	field_003C	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_005FAC40_02E6_39D7D583	80	4	field_0050	/int	2	dereference through parent pointer field; observed_types={/int=1, /undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005FAC40_02E6_39D7D583	84	4	field_0054	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005FAC40_02E6_39D7D583	96	4	field_0060	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005FAC40_02E6_39D7D583	100	4	field_0064	/int	2	dereference through parent pointer field; observed_types={/int=1, /undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005FAC40_02E6_39D7D583	104	4	field_0068	/uint	1	dereference through parent pointer field; observed_types={/uint=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005FADA0_02E6_8D03AC6C	4	4	field_0004	/uint	1	dereference through parent pointer field; observed_types={/uint=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005FADA0_02E6_8D03AC6C	20	4	field_0014	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005FADA0_02E6_8D03AC6C	24	4	field_0018	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005FADA0_02E6_8D03AC6C	28	4	field_001C	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006028A0_0211_79D9690B	68	4	field_0044	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006028A0_0211_79D9690B	72	4	field_0048	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006028A0_0211_79D9690B	84	4	field_0054	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006028A0_0211_79D9690B	88	4	field_0058	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0060D390_023C_02238FCF	4	4	field_0004	/uint	1	dereference through parent pointer field; observed_types={/uint=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0060D390_023C_02238FCF	8	4	field_0008	pointer:/undefined4	1	dereference through parent pointer field; observed_types={pointer:/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0060D810_0244_C78BBECE	0	4	field_0000	/undefined4	2	dereference through parent pointer field; observed_types={/undefined4=5}; exact_widths={}; semantic_roles={}
1	AnonNested_0060D810_0244_C78BBECE	4	4	field_0004	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0060D810_0244_C78BBECE	8	4	field_0008	/undefined4	1	dereference through parent pointer field; observed_types={pointer:/undefined4=1, pointer:/void=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0060D810_0244_C78BBECE	12	4	field_000C	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0060D810_0244_C78BBECE	16	4	field_0010	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0060D810_0244_C78BBECE	20	4	field_0014	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0060D810_0244_C78BBECE	24	4	field_0018	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0060D810_0244_C78BBECE	28	4	field_001C	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0060D810_0244_C78BBECE	32	4	field_0020	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0060D810_0244_C78BBECE	36	4	field_0024	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0060D810_0244_C78BBECE	40	4	field_0028	/uint	1	dereference through parent pointer field; observed_types={/uint=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00617A20_005E_D2939D1E	8	4	field_0008	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00617A20_005E_D2939D1E	12	4	field_000C	/undefined4	1	dereference through parent pointer field; observed_types={/int=2, /uint=2}; exact_widths={}; semantic_roles={}
1	AnonNested_00617A20_005E_D2939D1E	24	4	field_0018	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00617A20_005E_D2939D1E	28	4	field_001C	/int	1	dereference through parent pointer field; observed_types={/int=1, /undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00617A20_005E_D2939D1E	32	4	field_0020	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00633770_001D_40333508	0	1	field_0000	/undefined1	2	dereference through parent pointer field; observed_types={/undefined1=3}; exact_widths={}; semantic_roles={}
1	AnonNested_00633770_001D_40333508	8	4	field_0008	/int	3	dereference through parent pointer field; observed_types={/int=42, /undefined4=25}; exact_widths={}; semantic_roles={}
1	AnonNested_00633770_001D_40333508	12	4	field_000C	/uint	3	dereference through parent pointer field; observed_types={/uint=36}; exact_widths={}; semantic_roles={}
1	AnonNested_00633770_001D_40333508	17	4	field_0011	/int	2	dereference through parent pointer field; observed_types={/int=11}; exact_widths={}; semantic_roles={}
1	AnonNested_00633770_001D_40333508	21	4	field_0015	/int	2	dereference through parent pointer field; observed_types={/int=11}; exact_widths={}; semantic_roles={}
1	AnonNested_00633770_001D_40333508	28	4	field_001C	/int	3	dereference through parent pointer field; observed_types={/int=36}; exact_widths={}; semantic_roles={}
1	AnonNested_00633770_001D_40333508	33	4	field_0021	/float	3	dereference through parent pointer field; observed_types={/float=41, /undefined4=6}; exact_widths={}; semantic_roles={}
1	AnonNested_00633770_001D_40333508	37	4	field_0025	/float	2	dereference through parent pointer field; observed_types={/float=26, /undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00633770_001D_40333508	53	4	field_0035	/undefined4	1	dereference through parent pointer field; observed_types={/int=1, /uint=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0063CFF0_0336_DC162146	8	4	field_0008	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0063CFF0_0336_DC162146	12	4	field_000C	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0063FE70_0336_EDA006AC	4	4	field_0004	/int	1	dereference through parent pointer field; observed_types={/int=1, /undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0063FE70_0336_EDA006AC	8	4	field_0008	/int	1	dereference through parent pointer field; observed_types={/int=4}; exact_widths={}; semantic_roles={}
1	AnonNested_0063FE70_0336_EDA006AC	12	4	field_000C	/int	2	dereference through parent pointer field; observed_types={/int=4, /uint=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0063FE70_0336_EDA006AC	16	4	field_0010	/float	1	dereference through parent pointer field; observed_types={/float=3}; exact_widths={}; semantic_roles={}
1	AnonNested_0063FE70_0336_EDA006AC	28	4	field_001C	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0063FE70_0336_EDA006AC	32	4	field_0020	/int	1	dereference through parent pointer field; observed_types={/int=8, /uint=3}; exact_widths={}; semantic_roles={}
1	AnonNested_0063FE70_0336_EDA006AC	36	4	field_0024	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_0063FE70_0336_EDA006AC	48	4	field_0030	/uint	1	dereference through parent pointer field; observed_types={/uint=4}; exact_widths={}; semantic_roles={}
1	AnonNested_0063FE70_0336_EDA006AC	56	4	field_0038	/uint	1	dereference through parent pointer field; observed_types={/uint=5}; exact_widths={}; semantic_roles={}
1	AnonNested_00640170_037F_4BC1E19C	0	4	field_0000	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=2}; exact_widths={}; semantic_roles={}
1	AnonNested_00640170_037F_4BC1E19C	4	4	field_0004	/float	1	dereference through parent pointer field; observed_types={/float=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00640170_037F_4BC1E19C	8	4	field_0008	/float	1	dereference through parent pointer field; observed_types={/float=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00640170_037F_4BC1E19C	12	4	field_000C	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00640170_037F_4BC1E19C	16	4	field_0010	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00640170_037F_4BC1E19C	20	1	field_0014	/undefined1	1	dereference through parent pointer field; observed_types={/undefined1=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00640170_037F_4BC1E19C	21	1	field_0015	/undefined1	1	dereference through parent pointer field; observed_types={/undefined1=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00640170_037F_4BC1E19C	23	4	field_0017	/uint	1	dereference through parent pointer field; observed_types={/uint=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00647BA0_04E2_62109149	8	4	field_0008	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00647BA0_04E2_62109149	20	4	field_0014	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00647D50_05B3_23417B98	8	4	field_0008	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_00647D50_05B3_23417B98	20	4	field_0014	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0068E4F0_00A5_6001B6B3	4	4	field_0004	pointer:/AiFltClassTy	1	dereference through parent pointer field; observed_types={pointer:/AiFltClassTy=2}; exact_widths={}; semantic_roles={}
1	AnonNested_0068E4F0_00A5_6001B6B3	8	4	field_0008	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0068E4F0_00A5_6001B6B3	12	4	field_000C	/undefined4	1	dereference through parent pointer field; observed_types={/int=2, /uint=2}; exact_widths={}; semantic_roles={}
1	AnonNested_0068E4F0_00A5_6001B6B3	28	4	field_001C	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0069BC10_0008_975EAAD1	0	4	field_0000	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0069BC10_0008_975EAAD1	4	4	field_0004	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0069F160_0008_DA6B40D5	0	4	field_0000	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_0069F160_0008_DA6B40D5	4	4	field_0004	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006D5260_0284_3CE350C5	0	68	field_0000	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00749A79_05F12707	1	dereference through parent pointer field; observed_types={/SubmarineTitans/Recovered/PointerShapes/AnonShape_00749A79_05F12707=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006D5260_0284_3CE350C5	68	4	field_0044	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006D58C0_00E0_63977295	648	4	field_0288	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006D58C0_00E0_63977295	780	4	field_030C	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	4	4	field_0004	/uint	1	dereference through parent pointer field; observed_types={/uint=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	8	4	field_0008	/uint	1	dereference through parent pointer field; observed_types={/int=2, /uint=5, /undefined4=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	12	4	field_000C	/int	1	dereference through parent pointer field; observed_types={/int=2, /undefined4=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	16	4	field_0010	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	20	4	field_0014	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	24	4	field_0018	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	28	4	field_001C	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	32	4	field_0020	/int	2	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	36	4	field_0024	/int	2	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	40	4	field_0028	/int	2	dereference through parent pointer field; observed_types={/int=18, pointer:/SubmarineTitans/Recovered/LibraryContexts/DDXContext=1, pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006CEC40_BB23E716=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	232	4	field_00E8	/int	2	dereference through parent pointer field; observed_types={/int=2, /uint=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	236	4	field_00EC	/undefined4	2	dereference through parent pointer field; observed_types={/WinDef.h/DWORD=1, /int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	240	4	field_00F0	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	244	4	field_00F4	/uint	1	dereference through parent pointer field; observed_types={/uint=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	248	4	field_00F8	/uint	1	dereference through parent pointer field; observed_types={/uint=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	1252	4	field_04E4	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006D6A10_0288_C5798C7D	1260	4	field_04EC	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006D7000_00E0_8CA18F81	144	4	field_0090	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006D7000_00E0_8CA18F81	160	4	field_00A0	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006D4CF0_8A8947BE	1	dereference through parent pointer field; observed_types={pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006D4CF0_8A8947BE=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006E67C0_0452_59995E3E	0	4	field_0000	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006E67C0_0452_59995E3E	4	4	field_0004	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006E67C0_0452_59995E3E	8	4	field_0008	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006E67C0_0452_59995E3E	12	4	field_000C	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006E67C0_0452_59995E3E	16	4	field_0010	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006E67C0_0452_59995E3E	20	4	field_0014	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006E67C0_0452_59995E3E	24	4	field_0018	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_006E6830_0452_DAA077C9	0	4	field_0000	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_006E6830_0452_DAA077C9	4	4	field_0004	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonShape_00411260_CA091A09	1	1	field_0001	/char	1	fixed-offset dereference; observed_types={/char=2}; exact_widths={}; indexed_strides={4=2}; semantic_roles={}
1	AnonShape_00411E50_C98D94BC	1	1	field_0001	/char	1	fixed-offset dereference; observed_types={/char=3}; exact_widths={}; indexed_strides={4=3}; semantic_roles={}
1	AnonShape_00414A70_BE02AD08	1	1	field_0001	/undefined1	1	fixed-offset dereference; observed_types={/undefined1=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_00414A70_BE02AD08	2	1	field_0002	/undefined1	1	fixed-offset dereference; observed_types={/undefined1=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_00414A70_BE02AD08	3	1	field_0003	/undefined1	1	fixed-offset dereference; observed_types={/undefined1=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_00414A70_BE02AD08	4	1	field_0004	/undefined1	1	fixed-offset dereference; observed_types={/undefined1=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_00414A70_BE02AD08	5	1	field_0005	/undefined1	1	fixed-offset dereference; observed_types={/undefined1=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_00414A70_BE02AD08	6	1	field_0006	/undefined1	1	fixed-offset dereference; observed_types={/undefined1=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_00414A70_BE02AD08	7	1	field_0007	/undefined1	1	fixed-offset dereference; observed_types={/undefined1=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_0041ACF0_AAF938C3	16	2	field_0010	/undefined2	1	fixed-offset dereference; observed_types={/undefined2=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_0041ACF0_AAF938C3	18	1	field_0012	/undefined1	1	fixed-offset dereference; observed_types={/undefined1=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_0041AD80_80CC54C8	8	2	field_0008	/undefined2	1	fixed-offset dereference; observed_types={/undefined2=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_0041AD80_80CC54C8	10	1	field_000A	/undefined1	1	fixed-offset dereference; observed_types={/undefined1=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_0041ADB0_7048342A	8	2	field_0008	/undefined2	1	fixed-offset dereference; observed_types={/undefined2=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_0041ADB0_7048342A	10	1	field_000A	/undefined1	1	fixed-offset dereference; observed_types={/undefined1=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_0041AE10_45781711	4	2	field_0004	/undefined2	1	fixed-offset dereference; observed_types={/undefined2=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_0041AE40_65BC768C	8	1	field_0008	/undefined1	1	fixed-offset dereference; observed_types={/undefined1=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_0041DC40_6A7D968A	4	2	field_0004	/ushort	1	fixed-offset dereference; observed_types={/ushort=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_00423320_ACC7D39D	28	4	field_001C	/undefined4	1	fixed-offset dereference; observed_types={}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_004237D0_9C3CC954	41	4	field_0029	/undefined4	1	fixed-offset dereference; observed_types={}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_00423C70_0C525D84	28	4	field_001C	/undefined4	1	fixed-offset dereference; observed_types={}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_00423C70_0C525D84	41	4	field_0029	/undefined4	1	fixed-offset dereference; observed_types={}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_00424530_C2A16650	41	4	field_0029	/undefined4	1	fixed-offset dereference; observed_types={}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_00424620_7E898329	41	4	field_0029	/undefined4	1	fixed-offset dereference; observed_types={}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_00430A90_30AD5D09	8	4	field_0008	/uint	1	fixed-offset dereference; observed_types={/uint=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_00430A90_FED4A4B9	8	4	field_0008	/uint	1	fixed-offset dereference; observed_types={/uint=6}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_00438E30_8253E3EA	10	4	field_000A	pointer:/SubmarineTitans/Recovered/DArrayTy	1	fixed-offset dereference; observed_types={/undefined4=1, pointer:/SubmarineTitans/Recovered/DArrayTy=2}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_0043BEB0_0E51A31C	4	1	field_0004	/char	1	fixed-offset dereference; observed_types={/char=1}; exact_widths={}; indexed_strides={}; semantic_roles={}
1	AnonShape_004455C0_21A6F7E8	4	1	field_0004	/char	1	fixed-offset dereference; observed_types={/char=2}; exact_widths={}; indexed_strides={}; semantic_roles={}
